locatie_id,latitude,longitude,verkeersintensiteit,meet_richting,meetpaal_id
GEO0B_TIID_1269,53.07168,5.48813,900.0,,GEO0B_TIID_1269
GEO0B_TIID_613,52.84464,5.7239,1500.0,,GEO0B_TIID_613
GEO0B_TIID_625,53.03388,5.621802,1020.0,,GEO0B_TIID_625
GEO0B_TIID_664,53.031728,5.623259,840.0,,GEO0B_TIID_664
GEO0B_TIID_745,53.076109,5.478885,780.0,,GEO0B_TIID_745
GEO0B_TIID_8296,53.171734,5.433418,720.0,,GEO0B_TIID_8296
GEO0B_TIID_848,53.164217,5.934977,1140.0,,GEO0B_TIID_848
GEO0B_TIID_855,53.134491,6.090073,840.0,,GEO0B_TIID_855
GEO0B_TIID_857,53.134385,6.090938,540.0,,GEO0B_TIID_857
GEO0B_TIID_872,53.156564,5.963342,1020.0,,GEO0B_TIID_872
GEO0B_TIID_882,53.13521,6.083031,540.0,,GEO0B_TIID_882
GEO0B_TIID_897,52.90988,5.99768,1020.0,,GEO0B_TIID_897
GEO0B_TIID_915,52.90988,5.99768,1020.0,,GEO0B_TIID_915
GEO0K_K_1_RWSTI360612,53.093003,5.378478,780.0,,GEO0K_K_1_RWSTI360612
GEO0K_K_1_RWSTI361263,53.022303,5.651254,900.0,,GEO0K_K_1_RWSTI361263
GEO0K_K_1_RWSTI361267,53.022364,5.651968,1080.0,,GEO0K_K_1_RWSTI361267
GEO0K_K_RWSTI360627,53.093776,5.377704,960.0,,GEO0K_K_RWSTI360627
GEO0K_K_RWSTI360628,53.092989,5.378523,120.0,,GEO0K_K_RWSTI360628
GEO0K_K_RWSTI360642,53.09577,5.38748,240.0,,GEO0K_K_RWSTI360642
GEO0K_K_RWSTI360643,53.09996,5.38242,60.0,,GEO0K_K_RWSTI360643
GEO0K_K_RWSTI360645,53.103718,5.384109,360.0,,GEO0K_K_RWSTI360645
GEO0K_K_RWSTI360658,53.096766,5.386928,120.0,,GEO0K_K_RWSTI360658
GEO0K_K_RWSTI360659,53.1058381,5.38841969,300.0,,GEO0K_K_RWSTI360659
GEO0K_K_RWSTI361676,53.17257378,5.75741156,1140.0,,GEO0K_K_RWSTI361676
GEO0K_K_RWSTI361704,53.15617409,5.79053605,840.0,,GEO0K_K_RWSTI361704
GEO0K_K_RWSTI361996,52.975551,5.916813,900.0,,GEO0K_K_RWSTI361996
GEO0K_K_RWSTI362043,52.97455,5.915292,180.0,,GEO0K_K_RWSTI362043
GEO0K_K_RWSTI362541,53.105449,6.133804,360.0,,GEO0K_K_RWSTI362541
GEO0K_K_RWSTI362542,53.101733,6.137175,720.0,,GEO0K_K_RWSTI362542
GEO0K_K_RWSTI362558,53.104366,6.13345,1080.0,,GEO0K_K_RWSTI362558
GEO0K_K_RWSTI362559,53.104359,6.135722,840.0,,GEO0K_K_RWSTI362559
GEO0K_K_RWSTI363653,53.159144,5.789383,840.0,,GEO0K_K_RWSTI363653
GEO0K_K_RWSTI363654,53.15861,5.795342,120.0,,GEO0K_K_RWSTI363654
GEO0K_K_RWSTI363655,53.156314,5.790821,1260.0,,GEO0K_K_RWSTI363655
GEO0K_K_RWSTI363657,53.158557,5.795258,660.0,,GEO0K_K_RWSTI363657
GEO0K_K_RWSTI363658,53.159552,5.797243,1020.0,,GEO0K_K_RWSTI363658
GEO0K_K_RWSTI363659,53.15918,5.79429,720.0,,GEO0K_K_RWSTI363659
GEO0K_K_RWSTI363660,53.159202,5.788912,240.0,,GEO0K_K_RWSTI363660
GEO0K_R_1_RWSTI362562,53.10161,6.1378,900.0,,GEO0K_R_1_RWSTI362562
GEO0K_R_RWSTI301,53.087578,5.367015,660.0,,GEO0K_R_RWSTI301
GEO0K_R_RWSTI362560,53.10161,6.13788,480.0,,GEO0K_R_RWSTI362560
GEO0K_R_RWSTI362561,53.10280576,6.13655648,900.0,,GEO0K_R_RWSTI362561
GEO0K_TIID_1051,53.20475,5.68448,900.0,,GEO0K_TIID_1051
GEO0K_TIID_1160,52.96656,5.88558,1440.0,,GEO0K_TIID_1160
GEO0K_TIID_1179,53.16908,5.89237,1140.0,,GEO0K_TIID_1179
GEO0K_TIID_1207,53.09623,5.38181,720.0,,GEO0K_TIID_1207
GEO0K_TIID_1264,53.0972,6.11182,1320.0,,GEO0K_TIID_1264
GEO0K_TIID_1274,52.98124,5.93931,1500.0,,GEO0K_TIID_1274
GEO0K_TIID_1346,53.067973,5.833992,1080.0,,GEO0K_TIID_1346
GEO0K_TIID_1347,52.89504,6.01685,0.0,,GEO0K_TIID_1347
GEO0K_TIID_686,52.975326,5.920261,720.0,,GEO0K_TIID_686
GEO0K_TIID_8125,52.84148,6.05155,960.0,,GEO0K_TIID_8125
GEO0K_TIID_8252,53.09771,5.39328,480.0,,GEO0K_TIID_8252
GEO0K_TIID_8536,52.975083,5.911559,600.0,,GEO0K_TIID_8536
GEO0K_TIID_8538,52.974331,5.920719,1080.0,,GEO0K_TIID_8538
GEO0K_TIID_871,53.168724,5.899655,960.0,,GEO0K_TIID_871
GEO0K_TIID_887,53.107565,6.131749,660.0,,GEO0K_TIID_887
GEO0K_TIID_905,52.972178,5.921033,960.0,,GEO0K_TIID_905
GEO0K_TIID_925,52.97794,5.9112,240.0,,GEO0K_TIID_925
PFR07_101600_N351_NO,52.945427,6.159238,660.0,,PFR07_101600_N351_NO
PFR07_101600_N351_ZW,52.945427,6.159238,540.0,,PFR07_101600_N351_ZW
PFR07_101601_N351_NO,52.885166,6.033368,660.0,,PFR07_101601_N351_NO
PFR07_101601_N351_ZW,52.885166,6.033368,660.0,,PFR07_101601_N351_ZW
PFR07_101602_N351_NO,52.843846,5.912934,540.0,,PFR07_101602_N351_NO
PFR07_101602_N351_ZW,52.843882,5.912907,840.0,,PFR07_101602_N351_ZW
PFR07_101603_N353_N,52.922573,6.143539,240.0,,PFR07_101603_N353_N
PFR07_101603_N353_Z,52.922573,6.143539,240.0,,PFR07_101603_N353_Z
PFR07_101604_N353_NW,52.946484,6.116712,300.0,,PFR07_101604_N353_NW
